Demo,Channel 1,Channel 2,Overlap.Factor
P25-54,P25-54Linear TV Metro & Regional,P25-54Linear TV Metro,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Linear TV Regional,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Linear TV Metro 5 Cap Seven Network,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Linear TV Metro 5 Cap Nine Network,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Linear TV Metro 5 Cap Ten Network,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Linear TV Metro 5 Cap SBS Network,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Linear TV Regional 4 Seven Network,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Linear TV Regional 4 Nine Network,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Linear TV Regional 4 Ten Network,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Linear TV Regional 4 SBS Network,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Foxtel Linear,1
P25-54,P25-54Linear TV Metro & Regional,P25-54YouTube TrueView,1
P25-54,P25-54Linear TV Metro & Regional,P25-54YouTube Instant Reserve,1
P25-54,P25-54Linear TV Metro & Regional,P25-54YouTube Select,1
P25-54,P25-54Linear TV Metro & Regional,P25-54YouTube OMG Select,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Nine Now,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Ten Play,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Seven Plus,1
P25-54,P25-54Linear TV Metro & Regional,P25-54SBS On Demand,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Kayo,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Foxtel Go,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Binge,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Netflix,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Optus Sport,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Amazon Prime,1
P25-54,P25-54Linear TV Metro & Regional,P25-54Samsung In-Stream,1
P25-54,P25-54Linear TV Metro,P25-54Linear TV Regional,0
P25-54,P25-54Linear TV Metro,P25-54Linear TV Metro 5 Cap Seven Network,1
P25-54,P25-54Linear TV Metro,P25-54Linear TV Metro 5 Cap Nine Network,1
P25-54,P25-54Linear TV Metro,P25-54Linear TV Metro 5 Cap Ten Network,1
P25-54,P25-54Linear TV Metro,P25-54Linear TV Metro 5 Cap SBS Network,1
P25-54,P25-54Linear TV Metro,P25-54Linear TV Regional 4 Seven Network,0
P25-54,P25-54Linear TV Metro,P25-54Linear TV Regional 4 Nine Network,0
P25-54,P25-54Linear TV Metro,P25-54Linear TV Regional 4 Ten Network,0
P25-54,P25-54Linear TV Metro,P25-54Linear TV Regional 4 SBS Network,0
P25-54,P25-54Linear TV Metro,P25-54Foxtel Linear,1
P25-54,P25-54Linear TV Metro,P25-54YouTube TrueView,1
P25-54,P25-54Linear TV Metro,P25-54YouTube Instant Reserve,1
P25-54,P25-54Linear TV Metro,P25-54YouTube Select,1
P25-54,P25-54Linear TV Metro,P25-54YouTube OMG Select,1
P25-54,P25-54Linear TV Metro,P25-54Nine Now,1
P25-54,P25-54Linear TV Metro,P25-54Ten Play,1
P25-54,P25-54Linear TV Metro,P25-54Seven Plus,1
P25-54,P25-54Linear TV Metro,P25-54SBS On Demand,1
P25-54,P25-54Linear TV Metro,P25-54Kayo,1
P25-54,P25-54Linear TV Metro,P25-54Foxtel Go,1
P25-54,P25-54Linear TV Metro,P25-54Binge,1
P25-54,P25-54Linear TV Metro,P25-54Netflix,1
P25-54,P25-54Linear TV Metro,P25-54Optus Sport,1
P25-54,P25-54Linear TV Metro,P25-54Amazon Prime,1
P25-54,P25-54Linear TV Regional,P25-54Linear TV Metro 5 Cap Seven Network,0
P25-54,P25-54Linear TV Regional,P25-54Linear TV Metro 5 Cap Nine Network,0
P25-54,P25-54Linear TV Regional,P25-54Linear TV Metro 5 Cap Ten Network,0
P25-54,P25-54Linear TV Regional,P25-54Linear TV Metro 5 Cap SBS Network,0
P25-54,P25-54Linear TV Regional,P25-54Linear TV Regional 4 Seven Network,1
P25-54,P25-54Linear TV Regional,P25-54Linear TV Regional 4 Nine Network,1
P25-54,P25-54Linear TV Regional,P25-54Linear TV Regional 4 Ten Network,1
P25-54,P25-54Linear TV Regional,P25-54Linear TV Regional 4 SBS Network,1
P25-54,P25-54Linear TV Regional,P25-54Foxtel Linear,1
P25-54,P25-54Linear TV Regional,P25-54YouTube TrueView,1
P25-54,P25-54Linear TV Regional,P25-54YouTube Instant Reserve,1
P25-54,P25-54Linear TV Regional,P25-54YouTube Select,1
P25-54,P25-54Linear TV Regional,P25-54YouTube OMG Select,1
P25-54,P25-54Linear TV Regional,P25-54Nine Now,1
P25-54,P25-54Linear TV Regional,P25-54Ten Play,1
P25-54,P25-54Linear TV Regional,P25-54Seven Plus,1
P25-54,P25-54Linear TV Regional,P25-54SBS On Demand,1
P25-54,P25-54Linear TV Regional,P25-54Kayo,1
P25-54,P25-54Linear TV Regional,P25-54Foxtel Go,1
P25-54,P25-54Linear TV Regional,P25-54Binge,1
P25-54,P25-54Linear TV Regional,P25-54Netflix,1
P25-54,P25-54Linear TV Regional,P25-54Optus Sport,1
P25-54,P25-54Linear TV Regional,P25-54Amazon Prime,1
P25-54,P25-54Linear TV Metro 5 Cap Seven Network,P25-54Linear TV Metro 5 Cap Nine Network,1
P25-54,P25-54Linear TV Metro 5 Cap Seven Network,P25-54Linear TV Metro 5 Cap Ten Network,1
P25-54,P25-54Linear TV Metro 5 Cap Seven Network,P25-54Linear TV Metro 5 Cap SBS Network,1
P25-54,P25-54Linear TV Metro 5 Cap Seven Network,P25-54Linear TV Regional 4 Seven Network,0
P25-54,P25-54Linear TV Metro 5 Cap Seven Network,P25-54Linear TV Regional 4 Nine Network,0
